"sex","la","year","e50","e65","e80","e85"
"female","E06000016",2006,77.319,80.114,84.7101,86.8288
"female","E06000016",2007,77.1841,79.79,84.5543,86.9022
"female","E06000016",2008,76.9574,80.036,84.6674,86.83
"female","E06000016",2009,77.791,80.3591,84.7077,87.2008
"female","E06000016",2010,77.8057,80.5319,84.762,87.1878
"female","E06000016",2011,77.4368,80.4014,84.8639,87.1033
"female","E06000016",2012,77.2957,79.8895,84.7901,87.0791
"female","E06000016",2013,77.0919,80.5506,84.713,87.0422
"female","E06000017",2001,NA,NA,NA,NA
"female","E06000017",2002,78.4737,80.6588,85.5,87.1765
"female","E06000017",2003,79.0945,79.9669,84.9,87.1282
"female","E06000017",2004,78.7027,80.78,84.5672,87.303
"female","E06000017",2005,77.5444,80.275,84.2653,87.5
"female","E06000017",2006,78.5917,81.4286,84.8857,86.4545
"female","E06000017",2007,79.8058,81.6632,85,86.6585
"female","E06000017",2008,78.3739,81.049,84.7612,87.1143
"female","E06000017",2009,79.0229,81.1513,84.6667,86.9773
"female","E06000017",2010,77.2966,80.6337,85.0308,87
"female","E06000017",2011,78,80.7184,84.7536,86.8049
"female","E06000017",2012,79.3675,81.3868,85.6575,87.3191
"female","E06000017",2013,79.4444,80.6596,84.9833,86.8
"female","E06000018",2001,NA,NA,NA,NA
"female","E06000018",2002,77.18,79.1451,84.4013,87.0921
"female","E06000018",2003,76.7447,79.121,84.1159,87.0363
"female","E06000018",2004,76.7798,79.1629,84.3032,87.1123
"female","E06000018",2005,76.7968,79.4598,84.4324,86.8241
"female","E06000018",2006,76.5078,79.3712,84.2056,86.7889
"female","E06000018",2007,77.3322,80.0786,84.6372,86.806
"female","E06000018",2008,77.6285,80.5333,84.8994,86.9437
"female","E06000018",2009,77.5514,80.327,84.74,87.1362
"female","E06000018",2010,77.3142,80.3427,84.8505,87.1184
"female","E06000018",2011,77.2837,80.3712,84.6536,87.0991
"female","E06000018",2012,77.1135,79.9321,84.5753,87.2465
"female","E06000018",2013,77.4429,80.523,84.7414,86.8875
"female","E06000019",2001,NA,NA,NA,NA
"female","E06000019",2002,78.0748,80.2994,84.6605,87.1263
"female","E06000019",2003,78.6297,80.3429,84.4322,87.0815
"female","E06000019",2004,77.841,80.2677,84.7629,87.1722
"female","E06000019",2005,78.4232,80.5604,84.8237,87.1822
"female","E06000019",2006,78.3828,80.6161,84.7194,86.77
"female","E06000019",2007,78.9645,81.1193,84.9189,86.843
"female","E06000019",2008,78.6546,81.1345,84.7488,86.9402
"female","E06000019",2009,78.6586,80.9872,85.1554,87.1639
"female","E06000019",2010,78.0138,80.6252,84.8187,87.0198
"female","E06000019",2011,78.4,80.9751,85.0546,87.1787
"female","E06000019",2012,78.6375,81.15,85.2359,87.2739
"female","E06000019",2013,78.367,80.8084,84.8732,87.0561
"female","E06000020",2001,NA,NA,NA,NA
"female","E06000020",2002,76.1205,79.6796,84.7582,87.1667
"female","E06000020",2003,76.7674,79.6782,84.5703,87.1349
"female","E06000020",2004,77.0171,80.1619,84.9231,87.2741
"female","E06000020",2005,76.7964,80.2697,84.3266,86.8957
"female","E06000020",2006,76.5305,79.9396,84.6157,86.8468
"female","E06000020",2007,76.0921,79.6549,84.5887,86.9417
"female","E06000020",2008,76.3389,79.1691,84.3122,86.7387
"female","E06000020",2009,76.2939,79.665,85.2372,87.186
"female","E06000020",2010,77,80.0607,84.9083,86.9714
"female","E06000020",2011,76.3478,79.5989,85.0909,87.042
"female","E06000020",2012,76.7045,79.7783,84.6417,87.0238
"female","E06000020",2013,76.54,79.6202,84.9205,87.0584
"female","E06000021",2001,NA,NA,NA,NA
"female","E06000021",2002,76.2483,79.1636,84.3116,87.0909
"female","E06000021",2003,77.5202,79.4466,84.2957,87.0118
"female","E06000021",2004,77.3926,79.6384,84.5081,87.2
"female","E06000021",2005,76.8841,79.9785,84.4519,86.8838
"female","E06000021",2006,77.3209,80.0224,84.4882,86.5894
"female","E06000021",2007,77.0478,79.7332,84.426,86.8039
"female","E06000021",2008,77.8004,80.6169,84.9392,86.8531
"female","E06000021",2009,77.8549,80.4416,84.8466,87.0728
"female","E06000021",2010,77.1842,79.955,84.6644,87.1667
"female","E06000021",2011,77.0833,80.178,84.7783,87
"female","E06000021",2012,76.6319,79.7427,84.6259,86.8354
"female","E06000021",2013,76.6101,79.6885,84.5711,86.7838
"female","E06000022",2001,NA,NA,NA,NA
"female","E06000022",2002,79.2386,80.9366,84.7912,87.2732
"female","E06000022",2003,78.4196,81.045,84.9599,87.2676
"female","E06000022",2004,78.4113,80.6339,84.8348,87.1319
"female","E06000022",2005,79.0261,81.088,84.8935,86.9028
"female","E06000022",2006,78.8391,81.125,84.6812,86.8804
"female","E06000022",2007,78.1951,80.451,84.7057,86.7692
"female","E06000022",2008,79.0861,81.4642,84.9726,86.9452
"female","E06000022",2009,79.1778,81.482,85.2781,87.1591
"female","E06000022",2010,78.9585,81.1255,85.2484,86.9845
"female","E06000022",2011,79.4778,81.3361,85.041,87.129
"female","E06000022",2012,79.2541,81.4248,85.1923,87.104
"female","E06000022",2013,78.9083,81.0162,84.9605,87.1935
