"ecode","ons_code","ons_region_name","start_year","children","adult","older"
"E1221","E10000009","South West",2011,16962,25153,105956
"E1221","E10000009","South West",2012,4692,18664,107506
"E1221","E10000009","South West",2013,5291,25481,108309
"E1232","E07000048","South West",2008,0,0,0
"E1232","E07000048","South West",2009,0,0,0
"E1232","E07000048","South West",2010,0,0,0
"E1232","E07000048","South West",2011,0,0,0
"E1232","E07000048","South West",2012,0,0,0
"E1232","E07000048","South West",2013,0,0,0
"E1233","E07000049","South West",2008,0,0,0
"E1233","E07000049","South West",2009,0,0,0
"E1233","E07000049","South West",2010,0,0,0
"E1233","E07000049","South West",2011,0,0,0
"E1233","E07000049","South West",2012,0,0,0
"E1233","E07000049","South West",2013,0,0,0
"E1234","E07000050","South West",2008,0,0,0
"E1234","E07000050","South West",2009,0,0,0
"E1234","E07000050","South West",2010,0,0,0
"E1234","E07000050","South West",2011,0,0,0
"E1234","E07000050","South West",2012,0,0,0
"E1234","E07000050","South West",2013,0,0,0
"E1236","E07000051","South West",2008,0,0,0
"E1236","E07000051","South West",2009,0,0,0
"E1236","E07000051","South West",2010,0,0,0
"E1236","E07000051","South West",2011,0,0,0
"E1236","E07000051","South West",2012,0,0,0
"E1236","E07000051","South West",2013,0,0,0
"E1237","E07000052","South West",2008,0,0,0
"E1237","E07000052","South West",2009,0,0,0
"E1237","E07000052","South West",2010,0,0,0
"E1237","E07000052","South West",2011,0,0,0
"E1237","E07000052","South West",2012,0,0,0
"E1237","E07000052","South West",2013,0,0,0
"E1238","E07000053","South West",2008,0,0,0
"E1238","E07000053","South West",2009,0,0,0
"E1238","E07000053","South West",2010,0,0,0
"E1238","E07000053","South West",2011,0,0,0
"E1238","E07000053","South West",2012,0,0,0
"E1238","E07000053","South West",2013,0,0,0
"E1301","E06000005","North East",2008,120,26305,20689
"E1301","E06000005","North East",2009,273,134,21573
"E1301","E06000005","North East",2010,543,123,22650
"E1301","E06000005","North East",2011,6782,79,22358
"E1301","E06000005","North East",2012,841,85,22329
"E1301","E06000005","North East",2013,799,95,22640
"E1302","E06000047","North East",2009,96,294,125358
"E1302","E06000047","North East",2010,95,258,142968
"E1302","E06000047","North East",2011,17886,215,120117
"E1302","E06000047","North East",2012,5788,149,121563
"E1302","E06000047","North East",2013,826,221,116783
"E1401","E06000043","South East",2008,98,124702,61715
"E1401","E06000043","South East",2009,134,17828,56817
"E1401","E06000043","South East",2010,101,4585,57235
"E1401","E06000043","South East",2011,14696,3960,53762
"E1401","E06000043","South East",2012,6100,3442,53841
"E1401","E06000043","South East",2013,5299,2959,55261
"E1421","E10000011","South East",2008,34,138250,113899
"E1421","E10000011","South East",2009,40,501,128297
"E1421","E10000011","South East",2010,202,573,122296
"E1421","E10000011","South East",2011,132,622,132068
"E1421","E10000011","South East",2012,157,613,125176
"E1421","E10000011","South East",2013,227,682,137818
"E1432","E07000061","South East",2008,0,0,0
"E1432","E07000061","South East",2009,0,0,0
"E1432","E07000061","South East",2010,0,0,0
"E1432","E07000061","South East",2011,0,0,0
"E1432","E07000061","South East",2012,0,0,0
"E1432","E07000061","South East",2013,0,0,0
"E1433","E07000062","South East",2008,0,0,0
"E1433","E07000062","South East",2009,0,0,0
"E1433","E07000062","South East",2010,0,0,0
"E1433","E07000062","South East",2011,0,0,0
"E1433","E07000062","South East",2012,0,0,0
"E1433","E07000062","South East",2013,0,0,0
"E1435","E07000063","South East",2008,0,0,2
"E1435","E07000063","South East",2009,0,0,7
"E1435","E07000063","South East",2010,0,0,0
"E1435","E07000063","South East",2011,0,0,0
"E1435","E07000063","South East",2012,0,0,0
"E1435","E07000063","South East",2013,0,0,0
"E1436","E07000064","South East",2008,0,0,0
"E1436","E07000064","South East",2009,0,0,0
"E1436","E07000064","South East",2010,0,0,0
"E1436","E07000064","South East",2011,0,0,0
"E1436","E07000064","South East",2012,0,0,0
"E1436","E07000064","South East",2013,0,0,0
"E1437","E07000065","South East",2008,0,0,0
"E1437","E07000065","South East",2009,0,0,0
"E1437","E07000065","South East",2010,0,0,0
"E1437","E07000065","South East",2011,0,0,0
"E1437","E07000065","South East",2012,0,0,0
"E1437","E07000065","South East",2013,0,0,0
"E1501","E06000033","East of England",2008,96,56813,34665
"E1501","E06000033","East of England",2009,94,146,34845
"E1501","E06000033","East of England",2010,94,185,34499
"E1501","E06000033","East of England",2011,8214,20,33337
"E1501","E06000033","East of England",2012,8130,0,33055
"E1501","E06000033","East of England",2013,7563,0,32858
"E1502","E06000034","East of England",2008,39,41917,26828
"E1502","E06000034","East of England",2009,46,233,28918
"E1502","E06000034","East of England",2010,0,232,26067
"E1502","E06000034","East of England",2011,2517,-77,24503
"E1502","E06000034","East of England",2012,1887,0,24325
"E1502","E06000034","East of England",2013,1371,1409,22298
"E1521","E10000012","East of England",2008,2065,365566,262521
"E1521","E10000012","East of England",2009,2771,344,272279
"E1521","E10000012","East of England",2010,3080,-4,248528
"E1521","E10000012","East of England",2011,2943,339,264215
"E1521","E10000012","East of England",2012,6475,722,249758
"E1521","E10000012","East of England",2013,8221,531,259525
"E1531","E07000066","East of England",2008,0,908,1789
"E1531","E07000066","East of England",2009,0,0,1852
"E1531","E07000066","East of England",2010,0,0,1787
"E1531","E07000066","East of England",2011,0,0,2389
"E1531","E07000066","East of England",2012,0,0,1778
"E1531","E07000066","East of England",2013,0,0,1783
"E1532","E07000067","East of England",2008,0,0,0
"E1532","E07000067","East of England",2009,0,0,0
"E1532","E07000067","East of England",2010,0,0,0
"E1532","E07000067","East of England",2011,0,0,0
"E1532","E07000067","East of England",2012,0,0,0
"E1532","E07000067","East of England",2013,0,0,0
"E1533","E07000068","East of England",2008,0,0,0
"E1533","E07000068","East of England",2009,0,0,0
"E1533","E07000068","East of England",2010,0,0,0
