"la","year","sex","s_35","s_50","s_65","s_80","s_85"
"E06000006",2005,"female",0.0038153,0.00408809,0.00660122,0.0243488,0.0636554
"E06000006",2005,"male",0.00348448,0.00357324,0.00658881,0.034109,0.0998266
"E06000006",2006,"female",0.00322807,0.00450405,0.00715928,0.0321161,0.100142
"E06000006",2006,"male",0.00378738,0.00383693,0.00705586,0.0182026,0.0451934
"E06000006",2007,"female",0.00359374,0.00444033,0.00776628,0.0312766,0.0808788
"E06000006",2007,"male",0.0040159,0.0035599,0.0075822,0.0246031,0.0649871
"E06000006",2008,"female",0.00447565,0.00659206,0.00873104,0.0405177,0.0855005
"E06000006",2008,"male",0.00402872,0.00409138,0.00596104,0.0216046,0.054145
"E06000006",2009,"female",0.00380742,0.00467256,0.00641338,0.0210927,0.0419252
"E06000006",2009,"male",0.00498543,0.00659454,0.00680233,0.0169533,0.0387797
"E06000006",2010,"female",0.00421228,0.00601572,0.00784295,0.0251903,0.0825151
"E06000006",2010,"male",0.00399675,0.00402388,0.00717176,0.0155355,0.048419
"E06000006",2011,"female",0.00467803,0.00508949,0.0064837,0.0234759,0.0596463
"E06000006",2011,"male",0.00432072,0.0056856,0.00877492,0.0413715,0.132014
"E06000006",2012,"female",0.00450524,0.00358968,0.00560411,0.0150345,0.0219071
"E06000006",2012,"male",0.00430476,0.00439175,0.0075032,0.0304192,0.102373
"E06000006",2013,"female",0.00506985,0.00579283,0.00681581,0.0269781,0.0749254
"E06000006",2013,"male",0.00356594,0.00445255,0.00681061,0.0221119,0.0687737
"E06000007",2002,"female",0.00400605,0.00343437,0.00615037,0.0193214,0.0605807
"E06000007",2002,"male",0.00325104,0.0036619,0.00557629,0.0199863,0.0322446
"E06000007",2003,"female",0.00436726,0.0041143,0.00587906,0.012446,0.0359107
"E06000007",2003,"male",0.00292359,0.00339027,0.00480697,0.0184277,0.0453664
"E06000007",2004,"female",0.00372819,0.00384817,0.00659332,0.015253,0.0433345
"E06000007",2004,"male",0.00268672,0.00270979,0.00469098,0.0173611,0.0505297
"E06000007",2005,"female",0.00401244,0.00534414,0.00643153,0.0243018,0.0524827
"E06000007",2005,"male",0.00424042,0.00390634,0.00536722,0.024553,0.0778468
"E06000007",2006,"female",0.0041156,0.00513142,0.00721997,0.0293792,0.088491
"E06000007",2006,"male",0.00375253,0.00442258,0.00643918,0.0225986,0.0666503
"E06000007",2007,"female",0.00311127,0.00348176,0.00486842,0.0211345,0.0751382
"E06000007",2007,"male",0.00279756,0.00326465,0.00595378,0.0150817,0.044744
"E06000007",2008,"female",0.00352104,0.00484227,0.00588274,0.018631,0.0537645
"E06000007",2008,"male",0.00431885,0.00419506,0.00561149,0.0148958,0.0473199
"E06000007",2009,"female",0.00367404,0.00451839,0.00620724,0.0149623,0.0440847
"E06000007",2009,"male",0.00420276,0.00400086,0.00573552,0.0182164,0.0585036
"E06000007",2010,"female",0.00469643,0.00567368,0.00589947,0.0178415,0.046216
"E06000007",2010,"male",0.00351114,0.00395787,0.0064152,0.0180031,0.0187209
"E06000007",2011,"female",0.00400924,0.00460531,0.00760211,0.0260713,0.067892
